wavelength[um]           flux[Jy]
7.524948461563357505e+00 3.446244043925702919e-04
7.532477173753336253e+00 1.402887326925420506e-04
7.540013418421120939e+00 3.196574751065893167e-04
7.547557203102954304e+00 2.996368205827213901e-04
7.555108535342625942e+00 2.943904843426805511e-04
7.562667422691465191e+00 2.359204083456841480e-04
7.570233872708334033e+00 3.196087309862836903e-04
7.577807892959704361e+00 2.795243582499651910e-04
7.585389491019602914e+00 3.257576429038951918e-04
7.592978674469621936e+00 2.019652765462129807e-04
7.600575450898950258e+00 3.726543348301653165e-04
7.608179827904360870e+00 2.991486135576128138e-04
7.615791813090229567e+00 2.661171959525368710e-04
7.623411414068546499e+00 2.765794662295807086e-04
7.631038638458922385e+00 4.871482726638327204e-04
7.638673493888579635e+00 4.152789101957239572e-04
7.646315987992360341e+00 3.047661501215966746e-04
7.653966128412753811e+00 8.267529909287961735e-05
7.661623922799913444e+00 2.979480859033052558e-05
7.669289378811644298e+00 4.578143897960701279e-05
7.676962504113393315e+00 7.727001527101829304e-05
7.684643306378275973e+00 1.085886311770215755e-04
7.692331793287113584e+00 9.228524367240877675e-05
7.700027972528380005e+00 1.559245561760008096e-04
7.707731851798260259e+00 1.346069029489799956e-04
7.715443438800645204e+00 1.693827996475782548e-04
7.723162741247111995e+00 1.314178601398039380e-04
7.730889766856956946e+00 1.596362145395550946e-04
7.738624523357209739e+00 1.642025006920474312e-04
7.746367018482623656e+00 2.170249705392214058e-04
7.754117259975698673e+00 2.104831928444615338e-04
7.761875255586685896e+00 1.186471999443029535e-04
7.769641013073576019e+00 2.083415215386151542e-04
7.777414540202123305e+00 3.453722208334833758e-04
7.785195844745864235e+00 3.119103370300320703e-04
7.792984934486088200e+00 1.154041291680554511e-04
7.800781817211895230e+00 2.093419290419079256e-04
7.808586500720172019e+00 2.421754227108846786e-04
7.816398992815590141e+00 3.301864371388427014e-04
7.824219301310663788e+00 2.921319275724361766e-04
7.832047434025691146e+00 1.957493249907802442e-04
7.839883398788801472e+00 1.923931085254571884e-04
7.847727203435962195e+00 3.458197034664007219e-04
7.855578855810978034e+00 3.784474744238005011e-04
7.863438363765502537e+00 1.766160471293748565e-04
7.871305735159038974e+00 1.971625753990470336e-04
7.879180977858966095e+00 2.396079114161910517e-04
7.887064099740539014e+00 1.507002445321268646e-04
7.894955108686876777e+00 3.007695373398174910e-04
7.902854012588970356e+00 2.005564239320348848e-04
7.910760819345729722e+00 3.031762464575419279e-04
7.918675536863970521e+00 2.015220590909618187e-04
7.926598173058410524e+00 2.385798228679769845e-04
7.934528735851683834e+00 1.776868668335597175e-04
7.942467233174356878e+00 2.579560471628586284e-04
7.950413672964919520e+00 4.710791076342941714e-04
7.958368063169806383e+00 3.013690556144678996e-04
7.966330411743423490e+00 2.957369946150546530e-04
7.974300726648118953e+00 2.372771843423640038e-04
7.982279015854214954e+00 3.278604469521581946e-04
7.990265287339989975e+00 5.028121697344726214e-04
7.998259549091704557e+00 3.423797045286138029e-04
8.006261809103637717e+00 3.824257579228738609e-04
8.014272075378054083e+00 1.990109837642615748e-04
8.022290355925223437e+00 2.946745830695347433e-04
8.030316658763410942e+00 2.280657532084756037e-04
8.038350991918919775e+00 3.858054740840892840e-04
8.046393363426082246e+00 2.492417046346034675e-04
8.054443781327284668e+00 2.444585630792436826e-04
8.062502253672942487e+00 3.689586226777184287e-04
8.070568788521519821e+00 3.338895081915843285e-04
8.078643393939561435e+00 2.928314924581411761e-04
8.086726078001669649e+00 2.169506714027760015e-04
8.094816848790525654e+00 3.947336358965281185e-04
8.102915714396893065e+00 4.518919300377469031e-04
8.111022682919651672e+00 4.242732046442537677e-04
8.119137762465776120e+00 5.758895559117063181e-04
8.127260961150343022e+00 2.607477762740360752e-04
8.135392287096552266e+00 2.495981834657660893e-04
8.143531748435727025e+00 4.812330272611147169e-04
8.151679353307327958e+00 4.872086051508817584e-04
8.159835109858956770e+00 3.044091620296159127e-04
8.167999026246375749e+00 4.321143150881810138e-04
8.176171110633504213e+00 2.901821226126950022e-04
8.184351371192425617e+00 3.547166878022407093e-04
8.192539816103396433e+00 3.184941669229535990e-04
8.200736453554856809e+00 4.019822233599104839e-04
8.208941291743464319e+00 3.304110566953467865e-04
8.217154338874046005e+00 3.877482545995818023e-04
8.225375603159651661e+00 4.584839394418222750e-04
8.233605092821548510e+00 5.473462169811720577e-04
8.241842816089222978e+00 4.158099031660078592e-04
8.250088781200394905e+00 3.227854961618469259e-04
8.258342996401033531e+00 3.627145377906799192e-04
8.266605469945350393e+00 3.567918619279118221e-04
8.274876210095818863e+00 6.230679668959474655e-04
8.283155225123197241e+00 5.710676315287138444e-04
8.291442523306500334e+00 6.372430751710298933e-04
8.299738112933011891e+00 5.805670161288988213e-04
8.308042002298329010e+00 4.506338105971023330e-04
8.316354199706328387e+00 4.497228651999940615e-04
8.324674713469219611e+00 4.477888625850847564e-04
8.333003551907516737e+00 5.147403280017451982e-04
8.341340723350057829e+00 4.780641509595129519e-04
8.349686236134026274e+00 5.101899989557732214e-04
8.358040098604924140e+00 4.445262626665166762e-04
8.366402319116609476e+00 3.143904786741670934e-04
8.374772906031305197e+00 5.388704607887391919e-04
8.383151867719606187e+00 5.652522989883722836e-04
8.391539212560475747e+00 4.479018909042592803e-04
8.399934948941243817e+00 4.689532398750595205e-04
8.408339085257669154e+00 4.929650832672169544e-04
8.416751629913893140e+00 5.985036443445705505e-04
8.425172591322459326e+00 5.099414498856434707e-04
8.433601977904316982e+00 7.130525267338745513e-04
8.442039798088844194e+00 6.211893223485474499e-04
8.450486060313874503e+00 6.523410672049413401e-04
8.458940773025680926e+00 5.479849946471805405e-04
8.467403944678963512e+00 5.785548174141015793e-04
8.475875583736875996e+00 6.763383354085853068e-04
8.484355698671075530e+00 5.662547139384511942e-04
8.492844297961687161e+00 3.506699092296517058e-04
8.501341390097307382e+00 5.649024206853470653e-04
8.509846983575018342e+00 6.313498534845230891e-04
8.518361086900416268e+00 4.657941803740207388e-04
8.526883708587611466e+00 6.722640703364409897e-04
8.535414857159233648e+00 6.476345508475322066e-04
8.543954541146417725e+00 5.915636671393357734e-04
8.552502769088846435e+00 6.738431675677423755e-04
8.561059549534769886e+00 7.584064378955443584e-04
8.569624891040952264e+00 6.627925578203561425e-04
